Date,Open,High,Low,Close,Adj Close,Volume
2019-07-22,1256.949951,1284.550049,1227.599976,1280.500000,1273.449707,585651
2019-07-23,1285.699951,1294.000000,1261.300049,1272.849976,1265.841797,425680
2019-07-24,1274.000000,1279.050049,1254.400024,1258.800049,1251.869141,494832
2019-07-25,1267.949951,1268.800049,1227.150024,1232.300049,1225.515137,382454
2019-07-26,1233.449951,1242.000000,1210.050049,1214.099976,1207.415283,552475
2019-07-29,1219.400024,1221.500000,1205.099976,1211.150024,1204.481567,416379
2019-07-30,1211.250000,1219.900024,1175.800049,1180.550049,1174.050049,413976
2019-07-31,1177.949951,1184.849976,1163.000000,1166.000000,1159.580078,363098
2019-08-01,1169.800049,1188.300049,1150.199951,1180.550049,1174.050049,430950
2019-08-02,1175.500000,1198.000000,1162.349976,1184.199951,1184.199951,523278
2019-08-05,1177.500000,1177.500000,1129.000000,1143.000000,1143.000000,607913
2019-08-06,1136.800049,1149.900024,1121.949951,1128.000000,1128.000000,433717
2019-08-07,1127.800049,1138.400024,1103.000000,1109.000000,1109.000000,546804
2019-08-08,1109.000000,1158.000000,1095.650024,1151.949951,1151.949951,861938
2019-08-09,1159.000000,1175.000000,1152.699951,1162.000000,1162.000000,528918
2019-08-13,1240.000000,1302.500000,1225.300049,1275.000000,1275.000000,2092112
2019-08-14,1298.000000,1304.000000,1280.099976,1288.300049,1288.300049,785411
2019-08-16,1290.550049,1291.000000,1273.199951,1277.400024,1277.400024,339588
2019-08-19,1280.800049,1296.650024,1280.550049,1292.099976,1292.099976,463484
2019-08-20,1294.000000,1294.000000,1272.849976,1276.000000,1276.000000,291530
2019-08-21,1277.400024,1278.400024,1266.650024,1270.800049,1270.800049,233087
2019-08-22,1271.000000,1271.050049,1239.050049,1246.500000,1246.500000,403122
2019-08-23,1243.000000,1283.900024,1226.800049,1275.949951,1275.949951,513210
2019-08-26,1294.000000,1294.000000,1259.699951,1265.900024,1265.900024,323755
2019-08-27,1283.000000,1283.900024,1261.800049,1275.099976,1275.099976,350824
2019-08-28,1276.000000,1280.500000,1256.849976,1263.050049,1263.050049,260137
2019-08-29,1257.949951,1260.000000,1235.500000,1242.199951,1242.199951,397297
2019-08-30,1247.000000,1254.000000,1220.849976,1248.349976,1248.349976,680248
2019-09-03,1240.000000,1243.050049,1200.000000,1205.900024,1205.900024,328171
2019-09-04,1200.000000,1204.900024,1185.500000,1201.550049,1201.550049,517321
2019-09-05,1208.000000,1213.750000,1193.199951,1198.300049,1198.300049,503380
2019-09-06,1205.000000,1229.000000,1196.250000,1222.500000,1222.500000,519895
2019-09-09,1222.000000,1232.750000,1213.199951,1222.099976,1222.099976,278530
2019-09-11,1222.699951,1239.949951,1222.699951,1234.099976,1234.099976,206849
2019-09-12,1238.000000,1239.599976,1206.349976,1210.349976,1210.349976,251041
2019-09-13,1214.699951,1228.250000,1207.050049,1225.550049,1225.550049,547909
